# Mz(eV) gL
1154.16409013 0.00000095
1490.34853791 0.00000095
1924.45665519 0.00000095
2485.01160871 0.00000095
3208.84478159 0.00000095
4143.51578732 0.00000095
5350.43738427 0.00000095
6908.91061418 0.00000095
8921.33529401 0.00000096
11519.93821787 0.00000098
14875.46114679 0.00000103
19208.37943267 0.00000110
24803.38839842 0.00000119
32028.10930506 0.00000122
41357.24398536 0.00000126
53403.76522925 0.00000128
68959.19229219 0.00000134
89045.59783711 0.00000144
114982.76343741 0.00000157
148474.89610760 0.00000173
191722.60358973 0.00000201
247567.48575588 0.00000237
319678.84253567 0.00000288
412794.76605306 0.00000328
533033.45798303 0.00000329
688295.22730147 0.00000333
888781.58177655 0.00000341
1147665.52021904 0.00000345
1481957.06718728 0.00000366
1913620.92028971 0.00000394
2471019.64534014 0.00000441
3190777.24481216 0.00000516
4120185.54575661 0.00000634
5320311.51941510 0.00000784
6870009.69962947 0.00000970
8684122.63004421 0.00001209
10745901.47198935 0.00001490
13297186.52822783 0.00001843
16454196.05115283 0.00002280
20360740.75632721 0.00002820
25194774.80744606 0.00003464
31176502.13195992 0.00004285
37765270.83833939 0.00005180
45746494.44175693 0.00006669
58238517.86080804 0.00007965
70516914.22922298 0.00009314
83002229.84413902 0.00010876
89492383.63181767 0.00012706
108791067.97380868 0.00015499
129196747.42577915 0.00017654
159321945.32109916 0.00021429
187530564.39439347 0.00025022
231257635.51936600 0.00031572
278616172.06383479 0.00038322
342817607.06915599 0.00047752
443896705.31128240 0.00058693
560298838.10702658 0.00071242
758400939.27203059 0.00091650
979829345.98602223 0.00113422

