# mzprime Bayesian Frequentist
0.01 9.07e-07 7.64e-07
0.10 9.04e-07 7.64e-07
0.18 9.04e-07 7.70e-07
0.26 9.06e-07 7.82e-07
0.34 9.09e-07 7.98e-07
0.42 9.13e-07 8.18e-07
0.50 9.19e-07 8.40e-07
0.60 9.28e-07 8.77e-07
0.70 9.35e-07 9.14e-07
0.80 9.42e-07 9.54e-07
0.90 9.40e-07 9.70e-07
1.00 9.44e-07 9.88e-07
1.10 9.46e-07 9.94e-07
1.20 9.47e-07 9.99e-07
1.30 9.50e-07 1.01e-06
1.40 9.49e-07 1.01e-06
1.50 9.44e-07 1.00e-06
1.60 9.26e-07 9.79e-07
1.70 8.89e-07 9.28e-07
1.80 8.30e-07 8.48e-07
1.90 7.50e-07 7.59e-07
2.00 6.83e-07 6.69e-07
2.10 6.14e-07 5.92e-07
2.20 5.68e-07 5.18e-07
2.30 5.28e-07 4.68e-07
2.35 5.14e-07 4.52e-07
2.40 5.04e-07 4.44e-07
2.45 5.00e-07 4.43e-07
2.50 5.00e-07 4.48e-07
2.55 5.05e-07 4.60e-07
2.60 5.12e-07 4.76e-07
2.65 5.19e-07 4.92e-07
2.70 5.26e-07 5.09e-07
2.75 5.35e-07 5.21e-07
2.80 5.41e-07 5.31e-07
2.85 5.45e-07 5.40e-07
2.90 5.50e-07 5.50e-07
2.95 5.56e-07 5.65e-07
3.00 5.65e-07 5.84e-07
3.05 5.79e-07 6.08e-07
3.10 5.97e-07 6.24e-07
3.15 6.10e-07 6.38e-07
3.20 6.17e-07 6.47e-07
3.25 6.16e-07 6.48e-07
3.30 6.08e-07 6.39e-07
3.35 5.91e-07 6.21e-07
3.40 5.67e-07 5.96e-07
3.45 5.36e-07 5.65e-07
3.50 5.09e-07 5.30e-07
3.55 4.71e-07 4.86e-07
3.60 4.24e-07 4.36e-07
3.65 3.93e-07 3.87e-07
3.70 3.59e-07 3.46e-07
3.75 3.16e-07 3.10e-07
3.80 2.94e-07 2.63e-07
3.85 2.73e-07 2.25e-07
3.90 2.52e-07 1.92e-07
3.95 2.31e-07 1.63e-07
4.00 2.09e-07 1.41e-07
4.05 1.95e-07 1.26e-07
4.10 1.92e-07 1.21e-07
4.15 1.88e-07 1.17e-07
4.20 1.88e-07 1.18e-07
4.25 1.88e-07 1.21e-07
4.30 1.90e-07 1.24e-07
4.35 1.97e-07 1.28e-07
4.40 1.99e-07 1.29e-07
4.45 1.92e-07 1.24e-07
4.50 1.81e-07 1.16e-07
4.55 1.72e-07 1.05e-07
4.60 1.64e-07 9.43e-08
4.65 1.58e-07 8.81e-08
4.70 1.58e-07 8.84e-08
4.75 1.63e-07 9.61e-08
4.80 1.74e-07 1.10e-07
4.85 2.07e-07 1.32e-07
4.90 2.36e-07 1.66e-07
4.95 2.71e-07 2.10e-07
5.00 3.02e-07 2.73e-07
5.05 3.30e-07 3.31e-07
5.10 3.62e-07 3.67e-07
5.15 3.82e-07 3.99e-07
5.20 4.01e-07 4.21e-07
5.25 4.18e-07 4.38e-07
5.30 4.28e-07 4.52e-07
5.35 4.33e-07 4.61e-07
5.40 4.36e-07 4.68e-07
5.45 4.38e-07 4.73e-07
5.50 4.45e-07 4.76e-07
5.55 1.79e-06 1.94e-06
5.60 2.04e-06 2.20e-06
5.65 2.25e-06 2.41e-06
5.70 2.35e-06 2.52e-06
5.75 2.33e-06 2.50e-06
5.80 2.15e-06 2.32e-06
5.85 1.91e-06 2.07e-06
5.90 1.71e-06 1.84e-06
